game_id,game_name,total_market_size_bn,growth_rate_percent,competition_level,regulatory_risk,analysis_stage
1,Healthcare Tech,33.006818225246434,17.59267175515836,Medium,Low,Thesis Development
2,FinTech,17.49186120639589,11.919341756669468,Medium,Low,Deep Dive
3,EdTech,38.385836027526814,9.584623997552331,Low,High,Deep Dive
4,PropTech,92.1142686059858,19.893410310726942,Medium,High,Deep Dive
5,AgTech,15.892489279689727,23.247996179967608,High,Low,Initial Screen
6,CleanTech,15.892750201131355,22.45024095292959,Medium,Medium,Thesis Development
7,FoodTech,97.4376625930587,8.28625981421889,Medium,High,Initial Screen
8,RetailTech,43.268925831953524,12.526300993190283,High,Medium,Initial Screen
9,Supply Chain,12.560106170442673,17.65010745122851,Medium,Medium,Deep Dive
10,Cybersecurity,34.55526904774969,22.804361016978874,High,Low,Initial Screen
11,AI/ML,12.63640971943631,11.16660609723768,High,Low,Active Monitoring
12,Blockchain,12.607227321143387,13.514728186689464,Medium,High,Active Monitoring
13,IoT,25.58387503460316,6.149320207951774,Medium,High,Active Monitoring
14,Robotics,2.964533710045631,5.430347007354634,Medium,Medium,Initial Screen
15,Biotech,3.578995475084178,21.500206579153584,Medium,Low,Initial Screen
16,MedTech,11.446825821743476,25.84992022856658,Low,Low,Active Monitoring
17,InsurTech,7.294851896158015,14.423919027357329,Medium,Medium,Deep Dive
18,LegalTech,27.501686569591953,23.028263183136193,Medium,High,Active Monitoring
19,HRTech,8.100906139363907,17.893088200381072,Low,High,Active Monitoring
20,MarTech,4.892465157581653,9.839041963159005,Medium,Medium,Thesis Development
21,AdTech,86.97743949888283,17.891164844067312,High,Medium,Initial Screen
22,SportsTech,16.02618103324395,27.304292531727754,Medium,Low,Initial Screen
23,Gaming,21.488721254826878,14.713391687120387,Low,Low,Thesis Development
24,Entertainment,4.831958218620909,27.517149246512048,Medium,High,Initial Screen
25,Logistics,11.653624825949425,-5.957960832717955,High,Medium,Initial Screen
26,Manufacturing,22.441739370610133,21.57522003500179,Medium,Low,Deep Dive
27,Energy,6.35350368766933,15.69637654590537,Medium,Low,Active Monitoring
28,Water,29.24468998857837,12.60794119627306,High,Medium,Deep Dive
29,Aerospace,11.016138236849075,15.73408621228402,Medium,Low,Deep Dive
30,Defense,15.003841228318247,-0.9005513168071424,High,Low,Initial Screen
31,Construction,11.004380136535671,13.242624897299905,Medium,Medium,Deep Dive
32,Mining,128.03173776949376,17.85690057209397,Medium,Medium,Active Monitoring
33,Chemicals,19.816259255910275,26.82315235793213,Medium,Medium,Initial Screen
34,Materials,6.974698291298778,10.853838253810821,Medium,Low,Deep Dive
35,Telecom,45.7204148275151,8.532051176854498,Low,Medium,Thesis Development
36,Media,5.924855805075756,10.985943651323709,High,Low,Thesis Development
37,Consumer Goods,24.750943141223434,22.323216941616593,Medium,Low,Deep Dive
38,Automotive,2.8301504594356834,17.630008877277476,Low,Medium,Thesis Development
39,Industrial,5.321812554723262,10.76191836986369,Low,Medium,Initial Screen
40,Real Estate,24.45564909023567,19.10613946490685,Medium,High,Initial Screen
41,Hospitality,42.033485733557185,15.776620394784324,Medium,Medium,Thesis Development
42,Travel,23.840081985729842,22.749159924263115,Low,Medium,Thesis Development
43,Fashion,17.891964789315043,9.383575248981181,Medium,Low,Thesis Development
44,Beauty,14.863318090092628,12.378702827217854,Medium,Low,Active Monitoring
45,Wellness,4.57898798452568,11.86313477494274,Medium,Low,Deep Dive
46,Fitness,9.77820365291551,3.2918804149430514,Low,Low,Deep Dive
47,Pet Care,12.67157415151988,17.368962216516607,Medium,High,Thesis Development
48,Home Services,57.80771395595007,17.088442177439113,Medium,Low,Deep Dive
49,B2B Software,28.321416622870096,15.040907653139687,High,High,Thesis Development
50,Enterprise SaaS,3.445123816116287,13.123302932998826,Low,Medium,Thesis Development
